Date,BTC,ETH,LTC,XRP,XLM,NASDAQ,DJI,N225,HSI,SSEC,STOXX50E,USD-EUR,USD-CNY,USD-JPY,GOLD,OIL,NVDA,AMD,INTC,PYPL,ACWI-ETF,ICLN-ETF,SMH-ETF,QQQ-ETF,XLF-ETF
2020-01-19,8706.245117,166.969849,57.80069399999999,0.235585,0.06004400000000001,,,,,,,,,,1557.0,,,,,,,,,,
2020-01-20,8657.642578,167.120514,57.203262,0.233296,0.06204400000000001,,,24083.509766,28795.910156,3095.787109,3799.030029,0.9013399999999999,6.8587,110.18,,,,,,,,,,,
2020-01-21,8745.894531,169.697159,57.647881000000005,0.237166,0.06242,9370.80957,29196.039063,23864.560547,27985.330077999995,3052.139893,3789.1201170000004,0.90115,6.8658,110.172997,1556.400024,58.34,247.53155499999997,51.049999,59.080940000000005,116.150002,79.574577,12.353498,145.16893000000002,222.015991,29.991173
2020-01-22,8680.875977,168.294159,58.354725,0.236056,0.059889,9383.769531,29186.269531,24031.349609,28341.039063,3060.7548829999996,3769.790039,0.90207,6.9048,109.907997,1555.300049,56.740002000000004,249.697983,51.43,61.208042000000006,115.5,79.633614,12.313742999999999,146.360641,222.602631,30.078894000000002
2020-01-23,8406.515625,162.928558,54.63026,0.226104,0.059238,9402.480469,29160.089844,23795.439453,27909.119141000003,2976.528076,3736.850098,0.9011899999999999,6.9057,109.727997,1564.599976,55.59,252.44345099999998,51.709998999999996,61.783730000000006,117.889999,79.643456,12.343558,147.274277,223.318573,30.000919
2020-01-24,8445.43457,163.051178,54.531788,0.223041,0.057303,9314.910156,28989.730469,23827.179688,27949.640625,,3779.1599119999996,0.90455,6.9356,109.552002,1571.099976,54.189999,250.067352,50.349998,66.808777,116.980003,78.984184,12.353498,146.62875400000001,221.43927000000002,29.620790000000003
2020-01-25,8367.847656,161.283936,53.697788,0.220427,0.056039,,,,,,,,,,,,,,,,,,,,
2020-01-26,8596.830078,168.077103,56.212715,0.230686,0.058572000000000006,,,,,,,,,,1581.900024,,,,,,,,,,
2020-01-27,8909.819336,170.930893,58.763268000000004,0.23122199999999998,0.059645000000000004,9139.30957,28535.800781,23343.509766,,,3677.8400880000004,0.907,6.9357,108.802002,1576.800049,53.139998999999996,239.804306,49.259997999999996,64.09623,115.239998,77.518051,12.065282,140.71991,216.86532599999998,29.162684999999996
2020-01-28,9358.589844,176.370316,60.671814000000005,0.238488,0.060302999999999995,9269.679688,28722.849608999997,23215.710938,,,3719.219971,0.90746,6.9357,108.91999799999999,1569.199951,53.48,247.561493,50.529999,65.676926,116.519997,78.246201,12.303804,144.245361,220.196335,29.503829999999997
2020-01-29,9316.629883,175.05033899999998,60.077934,0.23573000000000002,0.061738999999999995,9275.160156,28734.449219,23379.400391,27160.630858999997,,3736.360107,0.90723,6.9357,109.13200400000001,1569.800049,53.330002,245.13549799999998,47.509997999999996,64.720711,116.660004,78.236366,12.363434,142.050644,220.554306,29.455090999999996
2020-01-30,9508.993164,184.690475,68.159065,0.243642,0.061207000000000004,9298.929688,28859.439452999995,22977.75,26449.130859,,3690.780029,0.9077,6.9357,108.987,1583.5,52.139998999999996,245.40506000000002,48.779999,64.85730699999999,117.120003,78.236366,12.234235,141.722946,221.339844,29.825476000000002
2020-01-31,9350.529297,180.160172,67.879494,0.239233,0.061554,9150.94043,28256.029297000005,23205.179688,26312.630859,,3640.9099119999996,0.90669,6.9357,108.876999,1582.900024,51.560001,236.04049700000002,47.0,62.378932999999996,113.889999,76.858788,12.045404,136.6185,217.82983399999998,29.201672
2020-02-01,9392.875,183.67395,70.820015,0.24145500000000003,0.06047,,,,,,,,,,,,,,,,,,,,
2020-02-02,9344.365234,188.617538,70.231544,0.250734,0.06336699999999999,,,,,,,,,,1594.0,,,,,,,,,,
2020-02-03,9293.521484,189.86506699999998,69.78022,0.254627,0.064061,9273.400391,28399.810547000005,22971.939453,26356.980469,2746.605957,3661.2700200000004,0.9017299999999999,6.9357,108.372002,1577.199951,50.110001000000004,239.934097,48.02,62.857040000000005,116.510002,77.38029499999999,12.204419,138.485474,221.12107799999998,29.406360999999997
2020-02-04,9180.962891,189.250595,68.195778,0.266808,0.066291,9467.969727,28807.630858999997,23084.589844,26675.980469,2783.288086,3732.280029,0.9039200000000001,7.0206,108.612,1550.400024,49.610001000000004,246.72288500000002,49.450001,63.871811,120.08000200000001,78.70867199999999,12.621835,142.944427,226.18226600000003,29.689018
2020-02-05,9613.423828,204.23023999999998,72.493103,0.277468,0.068733,9508.679688,29290.849608999997,23319.560547,26786.740234,2818.087891,3777.8400880000004,0.9052,6.9975,109.446999,1557.800049,50.75,250.34689300000002,49.84,65.706192,119.720001,79.456497,12.78085,145.784653,226.92802400000002,30.283579
2020-02-06,9729.801758,212.339081,73.388687,0.28221399999999996,0.07053999999999999,9572.150391,29379.769531,23873.589844,27493.699219,2866.51001,3805.5200200000004,0.9089,6.9728,109.814003,1565.099976,50.950001,253.83116099999998,49.32,65.784637,119.889999,79.61393699999999,12.820603,145.883942,228.88687099999999,30.244593
2020-02-07,9795.943359,222.726059,74.356117,0.27928400000000003,0.071625,9520.509766,29102.509766000003,23827.980469,27404.269531,2875.959961,3798.48999,0.9105,6.9698,109.968002,1568.599976,50.32,251.17553700000002,49.73,64.735458,118.879997,79.092422,12.681465,142.54718,227.902466,30.137375
2020-02-08,9865.119141,223.146515,76.46755999999999,0.27724299999999996,0.070853,,,,,,,,,,,,,,,,,,,,
2020-02-09,10116.673828,228.57856800000002,77.09258299999999,0.282457,0.072821,,,,,,,,,,1577.599976,,,,,,,,,,
2020-02-10,9856.611328,223.52270499999997,74.335098,0.27408000000000005,0.070855,9628.389648,29276.820313,23685.980469,27241.339844,2890.488037,3793.179932,0.9133,7.0006,109.644997,1574.699951,49.57,262.536804,52.259997999999996,65.098259,120.059998,79.48601500000001,12.721219,144.791565,230.656784,30.225098
2020-02-11,10208.236328,235.851196,76.597397,0.280141,0.073741,9638.94043,29276.339844,,27583.880858999997,2901.669922,3825.8400880000004,0.9163,6.9835,109.765999,1565.599976,49.939999,267.448669,53.799999,66.098427,118.839996,79.88945,13.049189,147.850266,230.696548,30.332314
2020-02-12,10326.054688,265.40612799999997,81.297455,0.30439299999999997,0.08004,9725.959961,29551.419922000005,23861.210938,27823.660156,2926.8989260000003,3854.429932,0.9158,6.9649,109.843002,1567.400024,51.169998,272.091034,53.889998999999996,66.147438,118.559998,80.420799,13.337403,149.93573,232.943771,30.351805
2020-02-13,10214.379883,268.099243,80.40342700000001,0.326706,0.08265499999999999,9711.969727,29423.310547000005,23827.730469,27730.0,2906.073975,3846.73999,0.91946,6.971,109.846001,1575.099976,51.419998,270.33392299999997,54.529999,66.127838,120.510002,80.056725,13.267835,150.293243,232.645462,30.342058
